Step,Training Loss
1,0.555700
2,0.631300
3,0.627000
4,0.387400
5,0.273800
6,0.174500
7,0.113500
8,0.084900
9,0.076900
10,0.131700
11,0.153100
12,0.012900
13,0.058800
14,0.148700
15,0.025500
16,0.055500
17,0.077200
18,0.054800
19,0.072300
20,0.067000
21,0.087700
22,0.049500
23,0.055700
24,0.046400
25,0.089600
26,0.031200
27,0.117700
28,0.050100
29,0.052400
30,0.076000
31,0.049800
32,0.062600
33,0.043400
34,0.022600
35,0.027100
36,0.027200
37,0.037000
38,0.049900
39,0.070500
40,0.051200
41,0.018700
42,0.006400
43,0.085200
44,0.069400
45,0.092700
46,0.055900
47,0.032100
48,0.053300
49,0.085600
50,0.144000
51,0.109500
52,0.027600
53,0.012700
54,0.028000
55,0.098200
56,0.066900
57,0.024400
58,0.050100
59,0.069200
60,0.036300
61,0.071300
62,0.055100
63,0.042900
64,0.059300
65,0.060200
66,0.035800
67,0.050200
68,0.076500
69,0.037800
70,0.049200
71,0.057900
72,0.089900
73,0.080200
74,0.073400
75,0.021100
76,0.159800
77,0.036700
78,0.053000
79,0.027700
80,0.030200
81,0.084200
82,0.110400
83,0.085000
84,0.068200
85,0.039200
86,0.067700
87,0.032900
88,0.040400
89,0.032700
90,0.081300
91,0.079000
92,0.028100
93,0.055500
94,0.050900
95,0.109700
96,0.034900
97,0.140600
98,0.033000
99,0.065000
100,0.079400
101,0.067000
102,0.064600
103,0.063800
104,0.035700
105,0.033600
106,0.014000
107,0.052200
108,0.038700
109,0.052800
110,0.068700
111,0.043700
112,0.059400
113,0.016100
114,0.006500
115,0.102300
116,0.060800
117,0.013200
118,0.044600
119,0.068600
120,0.071800
121,0.033800
122,0.015100
123,0.093800
124,0.034100
125,0.047700
126,0.032200
127,0.050500
128,0.052300
129,0.109100
130,0.121200
131,0.030000
132,0.040600
133,0.031900
134,0.059300
135,0.038500
136,0.047100
137,0.027700
138,0.041200
139,0.054800
140,0.050600
141,0.052100
142,0.036400
143,0.022100
144,0.029800
145,0.065600
146,0.141500
147,0.108200
148,0.038000
149,0.040600
150,0.112200
151,0.079800
152,0.028700
153,0.075600
154,0.034000
155,0.044100
156,0.047700
157,0.114300
158,0.018500
159,0.048500
160,0.031900
161,0.065200
162,0.058100
163,0.027200
164,0.065300
165,0.049000
166,0.048400
167,0.014900
168,0.035800
169,0.042700
170,0.062900
171,0.073500
172,0.046300
173,0.056200
174,0.020100
175,0.013000
176,0.019900
177,0.060700
178,0.064800
179,0.035400
180,0.087100
181,0.088800
182,0.017400
183,0.078500
184,0.043900
185,0.035200
186,0.027900
187,0.073700
188,0.089700
189,0.049400
190,0.016400
191,0.180200
192,0.041100
193,0.051200
194,0.040000
195,0.050500
196,0.044600
197,0.039600
198,0.016700
199,0.089000
200,0.041000
201,0.051400
202,0.059900
203,0.094200
204,0.110400
205,0.057600
206,0.054200
207,0.048000
208,0.066000
209,0.066900
210,0.031300
211,0.034900
212,0.072800
213,0.045800
214,0.054700
215,0.038500
216,0.057200
217,0.053300
218,0.035100
219,0.041100
220,0.084800
221,0.031700
222,0.080500
223,0.020700
224,0.042100
225,0.074800
226,0.060500
227,0.008200
228,0.060100
229,0.031500
230,0.012400
231,0.097200
232,0.045200
233,0.017800
234,0.025900
235,0.065500
236,0.063500
237,0.032700
238,0.085100
239,0.077400
240,0.053200
241,0.025000
242,0.054600
243,0.079100
244,0.033200
245,0.128800
246,0.039200
247,0.059100
248,0.071800
249,0.040000
250,0.059400
251,0.066500
252,0.079400
253,0.084600
254,0.035300
255,0.057600
256,0.007000
257,0.078600
258,0.047000
259,0.042100
260,0.047900
261,0.098500
262,0.071500
263,0.047200
264,0.068800
265,0.066100
266,0.075400
267,0.065000
268,0.056200
269,0.050000
270,0.025000
271,0.058000
272,0.066100
273,0.045600
274,0.034000
275,0.066500
276,0.051400
277,0.035500
278,0.055400
279,0.033100
280,0.046200
281,0.098200
282,0.061800
283,0.043300
284,0.041500
285,0.066100
286,0.030700
287,0.014200
288,0.079700
289,0.074500
290,0.014800
291,0.034300
292,0.044800
293,0.041200
294,0.067900
295,0.076200
296,0.100100
297,0.103400
298,0.019300
299,0.018500
300,0.057100
301,0.047100
302,0.028900
303,0.016800
304,0.047900
305,0.041100
306,0.036600
307,0.025600
308,0.054500
309,0.051800
310,0.024400
311,0.063400
312,0.018800
313,0.070500
314,0.075900
315,0.099700
316,0.036100
317,0.024700
318,0.066600
319,0.025200
320,0.039700
321,0.058000
322,0.038400
323,0.061700
324,0.053100
325,0.018100
326,0.074100
327,0.122700
328,0.040700
329,0.019800
330,0.053300
331,0.086900
332,0.068100
333,0.042700
334,0.029900
335,0.054100
336,0.099400
337,0.025100
338,0.047100
339,0.020300
340,0.039900
341,0.056000
342,0.043000
343,0.053300
344,0.054100
345,0.073200
346,0.029600
347,0.067300
348,0.032900
349,0.036700
350,0.011000
351,0.022300
352,0.046700
353,0.028900
354,0.034600
355,0.046700
356,0.018600
357,0.058200
358,0.037400
359,0.014800
360,0.032300
361,0.039900
362,0.065700
363,0.044900
364,0.033800
365,0.042700
366,0.024000
367,0.052300
368,0.049000
369,0.055900
370,0.078200
371,0.034100
372,0.125100
373,0.037900
374,0.112900
375,0.075800
376,0.018900
377,0.049400
378,0.036200
379,0.047100
380,0.054500
381,0.062100
382,0.056900
383,0.023000
384,0.075600
385,0.074700
386,0.073300
387,0.095100
388,0.048600
389,0.053900
390,0.034300
391,0.076800
392,0.080900
393,0.059800
394,0.036500
395,0.012000
396,0.031500
397,0.020200
398,0.066500
399,0.061800
400,0.029600
401,0.092600
402,0.057300
403,0.007200
404,0.007400
405,0.028200
406,0.037600
407,0.033900
408,0.040800
409,0.044100
410,0.046300
411,0.061100
412,0.049900
413,0.026500
414,0.059800
415,0.048700
416,0.029500
417,0.048200
418,0.031400
419,0.051200
420,0.032400
421,0.071800
422,0.040300
423,0.058000
424,0.094300
425,0.052900
426,0.071400
427,0.043600
428,0.043100
429,0.043000
430,0.028000
431,0.028800
432,0.038600
433,0.087000
434,0.092400
435,0.035200
436,0.070200
437,0.067700
438,0.028100
439,0.013200
440,0.043500
441,0.056800
442,0.033300
443,0.040200
444,0.065500
445,0.025600
446,0.063100
447,0.041800
448,0.013000
449,0.031200
450,0.063600
451,0.020100
452,0.065800
453,0.029700
454,0.023500
455,0.035200
456,0.042300
457,0.039000
458,0.049200
459,0.015700
460,0.029600
461,0.034700
462,0.021100
463,0.051500
464,0.041300
465,0.061100
466,0.073500
467,0.026300
468,0.019500
469,0.041200
470,0.057800
471,0.055000
472,0.115900
473,0.062400
474,0.037200
475,0.071400
476,0.081500
